CalendarName,EventTitle,StartDate,StartTime,EndDate,EndTime,Duration,StartTimeZone
ABOG Portland,Portland 5 (Lake O.),1/1/19,7:00 PM,1/1/19,9:00 PM,120,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,1/3/19,7:00 PM,1/3/19,10:00 PM,180,America/Los_Angeles
ABOG Portland,Portland Team 1,1/7/19,6:30 PM,1/7/19,9:30 PM,180,America/Los_Angeles
ABOG Anchorage,Homer Priceless Patrol,1/9/19,7:00 PM,1/9/19,10:00 PM,180,America/Los_Angeles
ABOG Arizona,Tucson Patrol,1/12/19,3:00 PM,1/12/19,8:00 PM,300,America/Los_Angeles
ABOG North Texas,NTX Patrol - FW,1/15/19,4:00 PM,1/15/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 8 - Cedar Mill,1/15/19,6:30 PM,1/15/19,9:30 PM,180,America/Los_Angeles
ABOG Portland,Portland Team 3 Patrol,1/17/19,6:30 PM,1/17/19,7:30 PM,60,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,1/17/19,7:00 PM,1/17/19,10:00 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT ,1/23/19,7:00 PM,1/23/19,9:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT,1/24/19,7:30 PM,1/24/19,10:00 PM,150,America/Los_Angeles
ABOG Kansas City,KC North Patrol,1/25/19,7:00 PM,1/25/19,10:00 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT,1/30/19,6:00 PM,1/30/19,8:00 PM,120,America/Los_Angeles
ABOG North Texas,NTX Patrol - FW,1/31/19,4:00 PM,1/31/19,6:00 PM,120,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,1/31/19,7:00 PM,1/31/19,10:00 PM,180,America/Los_Angeles
ABOG Arizona,Phoenix Patrol (PGA here),2/1/19,3:00 PM,2/1/19,8:00 PM,300,America/Los_Angeles
ABOG Portland,Portland Team 2 Patrol,2/1/19,7:00 PM,2/1/19,9:30 PM,150,America/Los_Angeles
ABOG Arizona,Tucson Patrol,2/2/19,3:00 PM,2/2/19,8:00 PM,300,America/Los_Angeles
ABOG Kansas City,KC West 2,2/7/19,6:00 PM,2/7/19,8:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 1,2/8/19,6:30 PM,2/8/19,9:30 PM,180,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW,2/12/19,4:00 PM,2/12/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,Portland 5 (Lake O.),2/12/19,7:00 PM,2/12/19,9:00 PM,120,America/Los_Angeles
ABOG Arizona,Phoenix Team,2/15/19,3:00 PM,2/15/19,6:30 PM,210,America/Los_Angeles
ABOG Kansas City,KC North Patrol,2/17/19,6:00 PM,2/17/19,9:00 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 3,2/18/19,7:30 PM,2/18/19,9:30 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 8 - Cedar Mill,2/19/19,6:30 PM,2/19/19,9:30 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 1,2/20/19,5:30 PM,2/20/19,8:00 PM,150,America/Los_Angeles
ABOG Detroit,DETROIT 6,2/21/19,7:00 PM,2/21/19,9:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 2,2/25/19,7:30 PM,2/25/19,9:30 PM,120,America/Los_Angeles
