index,CalendarName,EventTitle,StartDate,StartTime,EndDate,EndTime,Duration
0,ABOG Portland,Portland 5 (Lake O.),2019-01-01,19:00:00,2019-01-01,21:00:00,120
1,ABOG Anchorage,Anchorage Priceless Patrols,2019-01-03,19:00:00,2019-01-03,22:00:00,180
2,ABOG Portland,Portland Team 1,2019-01-07,18:30:00,2019-01-07,21:30:00,180
3,ABOG Anchorage,Homer Priceless Patrol,2019-01-09,19:00:00,2019-01-09,22:00:00,180
4,ABOG Arizona,Tucson Patrol,2019-01-12,15:00:00,2019-01-12,20:00:00,300
5,ABOG North Texas,NTX Patrol - FW,2019-01-15,16:00:00,2019-01-15,18:00:00,120
6,ABOG Portland,Portland Team 8 - Cedar Mill,2019-01-15,18:30:00,2019-01-15,21:30:00,180
7,ABOG Portland,Portland Team 3 Patrol,2019-01-17,18:30:00,2019-01-17,19:30:00,60
8,ABOG Anchorage,Anchorage Priceless Patrols,2019-01-17,19:00:00,2019-01-17,22:00:00,180
9,ABOG Detroit,DETROIT ,2019-01-23,19:00:00,2019-01-23,21:00:00,120
10,ABOG Detroit,DETROIT,2019-01-24,19:30:00,2019-01-24,22:00:00,150
11,ABOG Kansas City,KC North Patrol,2019-01-25,19:00:00,2019-01-25,22:00:00,180
12,ABOG Detroit,DETROIT,2019-01-30,18:00:00,2019-01-30,20:00:00,120
13,ABOG North Texas,NTX Patrol - FW,2019-01-31,16:00:00,2019-01-31,18:00:00,120
14,ABOG Anchorage,Anchorage Priceless Patrols,2019-01-31,19:00:00,2019-01-31,22:00:00,180
15,ABOG Arizona,Phoenix Patrol (PGA here),2019-02-01,15:00:00,2019-02-01,20:00:00,300
16,ABOG Portland,Portland Team 2 Patrol,2019-02-01,19:00:00,2019-02-01,21:30:00,150
17,ABOG Arizona,Tucson Patrol,2019-02-02,15:00:00,2019-02-02,20:00:00,300
18,ABOG Kansas City,KC West 2,2019-02-07,18:00:00,2019-02-07,20:00:00,120
19,ABOG Portland,Portland Team 1,2019-02-08,18:30:00,2019-02-08,21:30:00,180
20,ABOG North Texas,North Texas Patrol - FW,2019-02-12,16:00:00,2019-02-12,18:00:00,120
21,ABOG Portland,Portland 5 (Lake O.),2019-02-12,19:00:00,2019-02-12,21:00:00,120
22,ABOG Arizona,Phoenix Team,2019-02-15,15:00:00,2019-02-15,18:30:00,210
23,ABOG Kansas City,KC North Patrol,2019-02-17,18:00:00,2019-02-17,21:00:00,180
24,ABOG Detroit,DETROIT 3,2019-02-18,19:30:00,2019-02-18,21:30:00,120
25,ABOG Portland,Portland Team 8 - Cedar Mill,2019-02-19,18:30:00,2019-02-19,21:30:00,180
26,ABOG Detroit,DETROIT 1,2019-02-20,17:30:00,2019-02-20,20:00:00,150
27,ABOG Detroit,DETROIT 6,2019-02-21,19:00:00,2019-02-21,21:00:00,120
28,ABOG Detroit,DETROIT 2,2019-02-25,19:30:00,2019-02-25,21:30:00,120
29,ABOG Kansas City,KC North Patrol,2019-02-26,19:00:00,2019-02-26,22:00:00,180
30,ABOG Detroit,DETROIT 7,2019-02-27,19:00:00,2019-02-27,21:00:00,120
31,ABOG North Texas,North Texas Patrol - FW,2019-02-28,16:00:00,2019-02-28,18:00:00,120
32,ABOG Kansas City,KC West 2,2019-02-28,18:00:00,2019-02-28,20:00:00,120
33,ABOG Portland,Portland Team 2 Patrol,2019-03-01,19:00:00,2019-03-01,21:30:00,150
34,ABOG Detroit,DETROIT 2,2019-03-04,19:30:00,2019-03-04,21:30:00,120
35,ABOG Portland,Portland 5 (Lake O.),2019-03-05,19:00:00,2019-03-05,21:00:00,120
36,ABOG Detroit,DETROIT 7,2019-03-08,19:00:00,2019-03-08,21:00:00,120
37,ABOG Arizona,Tucson Patrol,2019-03-09,15:00:00,2019-03-09,20:00:00,300
38,ABOG Detroit,DETROIT 3,2019-03-11,19:30:00,2019-03-11,21:30:00,120
39,ABOG North Texas,North Texas Patrol - FW,2019-03-12,16:00:00,2019-03-12,18:00:00,120
40,ABOG Kansas City,KC North Patrol,2019-03-12,19:00:00,2019-03-12,22:00:00,180
