,text,labels,scores,better label(s) - Justin,Other - Justin
0,u still there,['neutral'],[0.9985159],,
1,call my #,['neutral'],[0.99839693],,
2,"Really, you are better than this (calling these ads that is).",['admiration' 'approval'],[0.9710561 0.9628638],"admiration, caring",
3,We're a bunch of guys working to reduce demand for girls and women being sold for sex against their will. May I text you information on where to get anonymous help for your addiction?,['curiosity'],[0.98822975],,
4,"lots of danger, including jail",['fear' 'neutral'],[0.89338058 0.60538208],,Accountability
5,You can go back to city ads to see picture.,['neutral'],[0.99465793],,
6,u there anymore,['neutral'],[0.99838042],,
7,what services?,['curiosity'],[0.84215182],,
8,"sorry, i was unavailable, how can i helpu",['remorse' 'sadness'],[0.90214115 0.31946027],curiosity,
9,Yay! I'm soooo glad you're close,['excitement' 'joy'],[0.32632378 0.96236449],,
10,what do u got in mind,['neutral'],[0.99836212],,
11,You sounds like you new to this. This kind of behavior can ruin your life and we want to keep that from happening ,['disapproval' 'neutral'],[0.58476579 0.37835345],caring,
12,out in either,['neutral'],[0.99821258],,
13,r u there?,['curiosity'],[0.97806805],neutral,
14,where?,['curiosity' 'neutral'],[0.3851209  0.87200594],neutral,
15,kk! just give me a call for details,['neutral'],[0.99560589],,
16,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99078172],,Accountability
17,maybe ?? ??,['neutral'],[0.99523664],,
18,"hey, srry..busy day...",['neutral'],[0.99790347],,
19,"Ok, well...",['neutral'],[0.92916936],,
20,u there?,['curiosity'],[0.95718277],neutral,
21,still there -  trying to help if you'l let me,['caring' 'sadness'],[0.61653185 0.75293112],,
22,You could look out for the girls too. Thank you for your cooperation. Don't text an ad like this again or you will go on the priority list.,['gratitude'],[0.98952687],,"gratitude, accountability"
23,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,accountability
24,hmmmm,['neutral'],[0.98418736],,
25,What u lookin 4?,['curiosity' 'neutral'],[0.82016563 0.55882931],,
26,Trauma will do that to you :(,['neutral'],[0.88404942],caring,
27,u alright?,['curiosity'],[0.96522319],,"curiosity, caring"
28,what you want and how much you want it ;),['neutral'],[0.97771454],,
