,ConversationId,ConversationInitiated,ConversationDate,ConversationEndedBy,Id,Initiated,Event,Text,ParticipantId,ParticipantRole,QueueDuration,Duration,Abandoned,VisitorWait,AnyText
74,5c2eeb9d3e1b9890052f28b3,1546578845568,2019-01-04 05:14:05,SYSTEM,5c2eee2c680e5af7063fc4fe,2019-01-04 05:25:00,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,4288.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
115,5c2eebdb3e1b9890052f2910,1546578907551,2019-01-04 05:15:07,SYSTEM,5c2efa21680e5af7063fd78d,2019-01-04 06:16:01,,I hope so. May I text you information on where to get anonymous help?,EKVnTGMw5aagaU,Agent,,57721.0,True,,I hope so. May I text you information on where to get anonymous help?
125,5c2eec433e1b9890052f2978,1546579011649,2019-01-04 05:16:51,SYSTEM,5c2eef19680e5af7063fc668,2019-01-04 05:28:57,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",FGV8TqMa5aama!,Agent,,43200912.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
135,5c2eecc13e1b9890052f2a11,1546579137193,2019-01-04 05:18:57,SYSTEM,5c2ef553680e5af7063fccae,2019-01-04 05:55:31,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,43215577.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
148,5c2eed353e1b9890052f2acc,1546579253345,2019-01-04 05:20:53,SYSTEM,5c2ef1c2680e5af7063fc800,2019-01-04 05:40:18,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",FGV8TqMa5aama!,Agent,,103192.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
155,5c2eed353e1b9890052f2acc,1546579253345,2019-01-04 05:20:53,SYSTEM,5c2ef699680e5af7063fcf9e,2019-01-04 06:00:57,,May I text you information on where to get anonymous help?,FGV8TqMa5aama!,Agent,,85593.0,True,,May I text you information on where to get anonymous help?
221,5c2ef2ba680e5af7063fc8cd,1546580666508,2019-01-04 05:44:26,SYSTEM,5c2ef647680e5af7063fcf04,2019-01-04 05:59:35,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",FGV8TqMa5aama!,Agent,,1024628.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
268,5c2ef4d1680e5af7063fcb93,1546581201341,2019-01-04 05:53:21,SYSTEM,5c2ef725680e5af7063fd072,2019-01-04 06:03:17,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,43213832.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
287,5c2ef6f6680e5af7063fd01e,1546581750792,2019-01-04 06:02:30,SYSTEM,5c2ef96f680e5af7063fd4b7,2019-01-04 06:13:03,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,5586.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
288,5c2ef6f6680e5af7063fd01e,1546581750792,2019-01-04 06:02:30,SYSTEM,5c2ef975680e5af7063fd502,2019-01-04 06:13:09,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,74602.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
